condition,Kinase,n_peptides,n_pairs,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg1h_NegCTL,PKD,31,93,-0.28485114341189094,666,0.1523678792038435,5.87806373527669e-9,7.478299473793471e-8,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PHK,68,204,-0.18633038933162244,5558,0.2658058345289335,6.6263413058929485e-9,7.478299473793471e-8,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,RIPK,30,90,-0.29933410639204183,616,0.15042735042735042,8.516746025909497e-9,8.06699277559713e-8,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,BARK1,91,273,-0.1646256505645252,11222,0.3000454533301249,1.021138326024953e-8,8.06699277559713e-8,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,VRK2,91,273,-0.1646256505645252,11222,0.3000454533301249,1.021138326024953e-8,8.06699277559713e-8,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PAKA,25,75,-0.2974966278670555,382,0.13403508771929826,3.6920918453477965e-8,2.6515932343861447e-7,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PDHK,42,126,-0.2253266983811517,1797,0.22459692538432696,8.14883026234309e-8,5.364646589375868e-7,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PIM,58,174,-0.16455300379732948,4398,0.28886699507389163,1.3654783143753158e-6,8.29790667966538e-6,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,AMPK,19,57,-0.2712858559147741,221,0.1336963097398669,1.5332625668870124e-6,8.651981627433856e-6,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,IKK,39,117,-0.20158342163827167,1693,0.24525568593365205,1.7406382533682726e-6,9.167361467739569e-6,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,AKT,33,99,-0.18864719164217392,1128,0.22787878787878788,2.6057560826104137e-6,1.2865920657888918e-5,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PEK,60,180,-0.15884097425292268,4976,0.305463474524248,6.006409088094302e-6,2.7912136350555873e-5,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,RAD53,27,81,-0.21985373629110488,705,0.2122854561878952,6.911091863891086e-6,2.9747242295756214e-5,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,CAMK1,19,57,-0.25794598370686195,261,0.15789473684210525,7.154400045814785e-6,2.9747242295756214e-5,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PKCD,11,33,-0.3040412783931308,39,0.06951871657754011,1.6612281683221507e-5,6.421516224201225e-5,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,MAPKAPK,37,111,-0.21114829305514696,1646,0.2648005148005148,1.7069853254205787e-5,6.421516224201225e-5,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,QIK,47,141,-0.15873695493984505,3212,0.32084706822495257,2.2415970999651298e-4,8.049371404420238e-4,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,CAMK2,12,36,-0.2316969794457374,132,0.1981981981981982,0.001632870760703568,0.0056085560911122555,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,AUR,9,27,-0.20897598668827463,61,0.16137566137566137,0.0021899289145292434,0.00714749602300745,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,CK1,22,66,-0.18964496321852692,627,0.2835820895522388,0.0022618658300656487,0.00714749602300745,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PKCI,11,33,-0.20530765732526907,112,0.19964349376114082,0.002683925883929844,0.008155005570402218,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,CDK,62,186,-0.12226721626630833,6569,0.37772411017192803,0.0038329352067925405,0.011214884493948545,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,STE7,28,84,-0.14341554419081587,1146,0.32100840336134456,0.004405471725894112,0.012429723798058389,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,JNK,23,69,0.042606629356050925,1680,0.6956521739130435,0.004771585181087001,0.012998456182961141,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,DAPK,18,54,-0.18084700521126754,417,0.2808080808080808,0.005136905714293831,0.013527185047640422,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,NDR,4,12,-0.31050307492014195,4,0.05128205128205128,0.006801651812875442,0.017333241716682577,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,CK2,4,12,-0.3138937190843872,6,0.07692307692307693,0.01078744925467036,0.026631515347467452,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,ERK,29,87,0.03393952457523395,2511,0.6559561128526645,0.01158224006250319,0.027727180755689456,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,MARK,5,15,-0.31088212481571553,18,0.15,0.01842118248582118,0.04280215930529039,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,VRK1,3,9,0.0993803282874422,42,0.9333333333333333,0.024390241433054127,0.05478357985640006,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,CHK1,10,30,-0.1504147808416631,123,0.2645161290322581,0.024964669301650658,0.05478357985640006,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,DYRK,26,78,0.02720319780696709,1977,0.6416747809152873,0.029885241560856146,0.06380902927858474,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,GRK,8,24,-0.25153329340950614,80,0.26666666666666666,0.04706505784892817,0.09549548064787482,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,SGK,23,69,-0.1272596948984576,875,0.36231884057971014,0.047143338547685036,0.09549548064787482,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,MLCK,5,15,0.08537021658762807,95,0.7916666666666666,0.050057965493253365,0.0988644818491754,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
